grade,subject,chapter_file,pages_detected,removed_header_footer_count,orig_chars,clean_chars,cleaned_path,error
Grade_10,English,Grade_10\English\Chapter_1.txt,38,38,55229,54285,Grade_10\English\Chapter_1.txt,
Grade_10,English,Grade_10\English\Chapter_2.txt,36,36,56844,55880,Grade_10\English\Chapter_2.txt,
Grade_10,English,Grade_10\English\Chapter_3.txt,36,36,51793,50946,Grade_10\English\Chapter_3.txt,
Grade_10,English,Grade_10\English\Chapter_4.txt,33,33,56585,55499,Grade_10\English\Chapter_4.txt,
Grade_10,English,Grade_10\English\Chapter_5.txt,39,39,65307,63954,Grade_10\English\Chapter_5.txt,
Grade_10,English,Grade_10\English\Chapter_6.txt,41,41,72628,71374,Grade_10\English\Chapter_6.txt,
Grade_10,English,Grade_10\English\Chapter_7.txt,41,41,65566,64477,Grade_10\English\Chapter_7.txt,
Grade_10,English,Grade_10\English\Chapter_8.txt,33,33,55469,54473,Grade_10\English\Chapter_8.txt,
Grade_10,English,Grade_10\English\Chapter_9.txt,55,55,89888,88556,Grade_10\English\Chapter_9.txt,
Grade_10,Health_and_Physical_Education,Grade_10\Health_and_Physical_Education\Chapter_1.txt,10,19,24009,23033,Grade_10\Health_and_Physical_Education\Chapter_1.txt,
Grade_10,Health_and_Physical_Education,Grade_10\Health_and_Physical_Education\Chapter_10.txt,12,23,23227,22201,Grade_10\Health_and_Physical_Education\Chapter_10.txt,
Grade_10,Health_and_Physical_Education,Grade_10\Health_and_Physical_Education\Chapter_11.txt,12,23,22473,21164,Grade_10\Health_and_Physical_Education\Chapter_11.txt,
Grade_10,Health_and_Physical_Education,Grade_10\Health_and_Physical_Education\Chapter_12.txt,10,19,19111,18298,Grade_10\Health_and_Physical_Education\Chapter_12.txt,
Grade_10,Health_and_Physical_Education,Grade_10\Health_and_Physical_Education\Chapter_13.txt,10,18,20862,19868,Grade_10\Health_and_Physical_Education\Chapter_13.txt,
Grade_10,Health_and_Physical_Education,Grade_10\Health_and_Physical_Education\Chapter_2.txt,12,23,20525,19434,Grade_10\Health_and_Physical_Education\Chapter_2.txt,
Grade_10,Health_and_Physical_Education,Grade_10\Health_and_Physical_Education\Chapter_3.txt,12,23,23640,22503,Grade_10\Health_and_Physical_Education\Chapter_3.txt,
Grade_10,Health_and_Physical_Education,Grade_10\Health_and_Physical_Education\Chapter_4.txt,17,33,25386,23869,Grade_10\Health_and_Physical_Education\Chapter_4.txt,
Grade_10,Health_and_Physical_Education,Grade_10\Health_and_Physical_Education\Chapter_5.txt,25,49,45185,42866,Grade_10\Health_and_Physical_Education\Chapter_5.txt,
Grade_10,Health_and_Physical_Education,Grade_10\Health_and_Physical_Education\Chapter_6.txt,34,67,53456,50652,Grade_10\Health_and_Physical_Education\Chapter_6.txt,
Grade_10,Health_and_Physical_Education,Grade_10\Health_and_Physical_Education\Chapter_7.txt,22,43,40562,38605,Grade_10\Health_and_Physical_Education\Chapter_7.txt,
Grade_10,Health_and_Physical_Education,Grade_10\Health_and_Physical_Education\Chapter_8.txt,32,63,56543,53908,Grade_10\Health_and_Physical_Education\Chapter_8.txt,
Grade_10,Health_and_Physical_Education,Grade_10\Health_and_Physical_Education\Chapter_9.txt,16,31,37376,35690,Grade_10\Health_and_Physical_Education\Chapter_9.txt,
Grade_10,Hindi,Grade_10\Hindi\Chapter_1.txt,44,44,65376,64372,Grade_10\Hindi\Chapter_1.txt,
Grade_10,Hindi,Grade_10\Hindi\Chapter_10.txt,24,24,40944,40344,Grade_10\Hindi\Chapter_10.txt,
Grade_10,Hindi,Grade_10\Hindi\Chapter_11.txt,22,22,34730,34070,Grade_10\Hindi\Chapter_11.txt,
